admin1,urban,sector,pred_mean,pred_80lb,pred_80ub,pred_90lb,pred_90ub
Kaolack,urban,agri_aqua,0.07603306588544445,0.06698651414562207,0.0850919267981855,0.06444655639787211,0.08786174806278006
Kaolack,urban,livestock,0.025183855451643325,0.020702944611679472,0.029859972746295947,0.01952809925872897,0.031349902883513206
Kaolack,urban,professional,0.21473171179563413,0.19762336514646414,0.23286174393447961,0.19082562894219463,0.23829141391838715
Kaolack,urban,services,0.12228746334434228,0.10878657358604969,0.13600204122566323,0.10415194993173535,0.13975885393182502
Kaolack,urban,small_business,0.4546197784994179,0.4328935597043242,0.47650509386910034,0.42744516957585865,0.48259415612581513
Kaolack,urban,trades,0.10714412502351787,0.09681903650241172,0.11816697023259304,0.09378778101171063,0.12134956325117559
Kedougou,rural,agri_aqua,0.1386307551598159,0.1168152199964156,0.16087237911198746,0.11142829945745406,0.16794782107719036
Kedougou,rural,livestock,0.20150615733121416,0.17711480257105655,0.22750119282046152,0.17055265285476734,0.23315410047231
Kedougou,rural,professional,0.06952256012909012,0.06066082774217156,0.0791065410384874,0.058184364331480755,0.08218834417831232
Kedougou,rural,services,0.051520197920634885,0.04406731380802287,0.059467648487424536,0.042348444854466094,0.061976706877335856
Kedougou,rural,small_business,0.4451973883707905,0.4199186606771931,0.471372562991858,0.4131187707260133,0.4786558708801719
Kedougou,rural,trades,0.09362294108845447,0.08160181850757992,0.10543474367461746,0.07836910120473442,0.10989729645140953
Kedougou,urban,agri_aqua,0.025740439526091743,0.020783879127118345,0.030791594303777432,0.01964764857979439,0.032467606541673785
Kedougou,urban,livestock,0.044694920210639894,0.03779220566721339,0.051974509963879825,0.03603629963155812,0.053770259405490156
Kedougou,urban,professional,0.16900596401215426,0.15137345619861592,0.18797304961342073,0.14778214837191053,0.1924723125268088
Kedougou,urban,services,0.10949791166344913,0.09519831576099609,0.12451003914295422,0.09205932074058747,0.1298619183599301
Kedougou,urban,small_business,0.5623011139057288,0.5371289865613408,0.587249149489993,0.530605755666525,0.5922525878561983
Kedougou,urban,trades,0.0887596506819362,0.07859835010199794,0.09930967734335246,0.07567172633993532,0.10167632597998566
Kolda,rural,agri_aqua,0.3086061701684691,0.2781677768865685,0.3408616565538801,0.27050350215234686,0.35055187869308846
Kolda,rural,livestock,0.2513335618726574,0.22274976188414516,0.27941761624655853,0.2149850791198907,0.28837628593371817
Kolda,rural,professional,0.06093065274191249,0.051820884651125915,0.06997505723702693,0.049756838196989034,0.07291376457506303
Kolda,rural,services,0.03875152512943829,0.03212481660078922,0.04617855173422109,0.0305108960005417,0.048708105845959124
Kolda,rural,small_business,0.26605395580098523,0.242116413524586,0.2903385414629258,0.2366361201576542,0.29823484797377176
Kolda,rural,trades,0.07432413428653756,0.06397228630029117,0.08436811297299636,0.061426327911415876,0.08889467924589921
Kolda,urban,agri_aqua,0.07714160280002276,0.06606730553788678,0.08844013810513764,0.0633106039975326,0.09221272714399326
Kolda,urban,livestock,0.07455869414417793,0.06294956719176803,0.08620395228872718,0.06087892964824449,0.09020039754039534
Kolda,urban,professional,0.19711269930839406,0.17413350176932452,0.22165953410423891,0.16696095506084904,0.22896317163931879
Kolda,urban,services,0.10923333615408576,0.09209612968922977,0.12686880012613755,0.08792392425890046,0.13273015482000097
Kolda,urban,small_business,0.44774965233172964,0.41669770290046987,0.47760147756768145,0.4066237168767807,0.4857168107781594
Kolda,urban,trades,0.09420401526158985,0.0825474023283346,0.10575041134043724,0.07919811673870197,0.1100756999012593
Louga,rural,agri_aqua,0.13406225009908035,0.1156427890961609,0.1507530183967748,0.11063301410574684,0.15878471253897952
Louga,rural,livestock,0.2929071418456363,0.26935275731630276,0.31647041408475185,0.26229751363579185,0.32266915954670045
Louga,rural,professional,0.07907728208321727,0.07024061431485129,0.0879446619982197,0.06742415382995061,0.09080668749075663
Louga,rural,services,0.04425258333883345,0.037714497677398005,0.05081806271778095,0.036146659829725925,0.05291051586808051
Louga,rural,small_business,0.3640354900769968,0.3421971039410203,0.38573737938944924,0.3369987069879396,0.39289177052969165
Louga,rural,trades,0.0856652525562358,0.07588915314069225,0.09649092449926644,0.07305418037484537,0.09940466418335801
