sector,urban,admin,pred_med,pred_80lb,pred_80ub,pred_90lb,pred_90ub
services,rural,Kedougou,368987,301852.89999999997,453843.9,292141.7,480763.3499999999
services,rural,Kolda,296124,234235.5,371590.3,218384.1,401034.95
services,rural,Koungheul,292616.5,209664.1,379811.89999999997,196297.15,416516.7
services,rural,Koupentoum,314378,241158.30000000002,406884.7,221828.55,436934.2499999999
services,rural,Linguere,294030,227288.9,370932.7,210738.05000000002,393381.35
services,rural,Louga,371719.5,308772.30000000005,453689.8,291560.55000000005,487700.15
services,rural,M.backe,248276,204211.4,300237.4,192693.1,314110.2
services,rural,M.bour,410049,332704.8,500085,315097.75,531095.45
services,rural,Malem.Hoddar,342890,254276.09999999998,463134.2,231548.65,510612.14999999997
services,rural,Matam,342166.5,267919.6,439524.30000000005,247299.44999999998,465530.4499999997
services,rural,Nioro,280790.5,224883.6,348253.8,210923.7,372522.7
services,rural,Oussouye,308589,231457.7,401566.9,212312.1,441368.45
services,rural,Podor,349004.5,251256.9,463397.6,229719.9,501700.85
services,rural,Rufisque,388394.5,320267.1,475658.3,305568.60000000003,509092.75
services,rural,Saint.Louis,318899.5,251748.3,408175.5,233122.05,440952.89999999997
services,rural,Salemata,290571,206416.7,382993.60000000003,188406.8,413272.0999999999
services,rural,Saraya,368547,274609.2,511257.60000000003,257094.25000000003,553505.2999999998
services,rural,Sedhiou,351470.5,284833.1,458752.89999999997,266544.05,491300.8
services,rural,Tambacounda,312284.5,250078.4,384044.3,233837.19999999998,408173.95
services,rural,Thies,347535.5,281209.5,429320.2,267140.55,460296.85
services,rural,Tivaouane,409912,328517.3,511497.9,311121.35000000003,550475.2499999999
services,rural,Velingara,411789,326694.3,519116.9,306959,552446.35
services,rural,Ziguinchor,327990.5,271548.89999999997,402112.8,255128.85,427821.39999999997
services,urban,Bakel,592985.5,425111.8,805462.2999999999,386006.05,894735.2999999996
services,urban,Bambey,384813,293352.3,498045.70000000007,268327.45,537882.85
services,urban,Bignona,421171.5,313414.6,557291.5,280919.9,604827.4999999999
services,urban,Bounkiling,498484,359685.9,702970.2,315155.25,776121.5499999997
services,urban,Dagana,328338,249230,419172.4,231879.05000000002,454162.05
services,urban,Dakar,701451.5,638042.6000000001,772527,621493.2,801925.65
services,urban,Diourbel,249047.5,190574.1,322122.3,173708.35,347904.6
services,urban,Fatick,319607.5,254883.8,410529.8,236787.25,447137.69999999995
services,urban,Foundiougne,434380,345101.7,540188.1,320948.39999999997,575239.1
services,urban,Gossas,478548.5,318006.89999999997,720498.7,282880.05,803462.7999999998
services,urban,Goudomp,485902,349774.3,667555.2999999999,316550.30000000005,728845.55
services,urban,Guediawaye,733610,585467.2,909686.3000000002,555727.05,969318.1499999999
services,urban,Guinguineo,490338,339158.1,683422.7,309311.65,740485.1999999998
services,urban,Kaffrine,334378.5,260898.1,439511.6,242763.35,464207.19999999995
services,urban,Kanel,382601,263487.7,522822.89999999997,239390.3,572826.25
services,urban,Kaolack,513419.5,445252.2,593750.2,426984.25,616411
services,urban,Kebemer,460189,331812,628847.3,304933.25,675921.15
services,urban,Kedougou,548230.5,473596.9,639093.1000000001,455842.35000000003,660147.45
services,urban,Kolda,384002.5,301153.6,503626.4,274390.95,534899.8999999999
services,urban,Koungheul,369780,260442.69999999998,521919.5,238594.95,583910.3999999999
services,urban,Koupentoum,425832,297313.10000000003,590314.0000000001,268172.8,656700.95
services,urban,Linguere,403974.5,305547.5,527590.8,279751.5,580280
services,urban,Louga,480513,401144.2,577721.1,384590.4,609962.25
services,urban,M.backe,344719,274971.3,433533,254451.15000000002,458509.1999999998
services,urban,M.bour,645353,532166,794090.4000000001,494036.35000000003,834846.1499999999
services,urban,Malem.Hoddar,489030,333649.80000000005,707661.2000000001,300710.15,773850.3999999999
services,urban,Matam,466958,351697.39999999997,623155.4,322505.6,669807.85
